
(95844090,51087140,-72.97,'AR','North','JFK & McCain_4824 JFK_North LIttle Rock Arkansas 72116_501-812-0913',34.7993,-92.2551),





(26292981,44782945,-72.33,'AZ','Lake','Swanson & So. Lake Havasu_55 Lake Havasu Avenue South_Lake Havasu City Arizona 864030938_928-854-5444',34.47318734,-114.342988),





(68868723,33940329,-41.84,'CA','Big','Big Bear & Christmas Tree Lane Big_42140 Big Bear Blvd._Big Bear Lake California 92315_909-866-3203',34.247523,-116.8827),
(35685658,35219987,-59.33,'CA','Big','Village & Paine Big Bear Lake_40568 Village Drive_Big Bear Lake California 92315_909-878-5094',34.2411431,-116.9166325),
(34889607,09897748,-54.85,'CA','City','Atlantic & Washington (UCO)_5201 E. Washington Blvd_City of Commerce California 900403918_323-981-0029',34.00300054,-118.1677231),
(52931224,32547808,-38.49,'CA','City','Citadel Outlets City of Commerce_100 Citadel Drive Suite 200_City of Commerce California 90040_323-888-2153',34.00484469,-118.1530519),
(45908951,58331526,-71.94,'CA','City','Hacienda & Valley City of Industry_209 S. Hacienda Blvd_City of Industry California 917451104_626-369-0946',34.0207522,-117.9577358),
(97567731,06809107,-41.02,'CA','City','Gale & Fullerton City of Industry_18248 Gale Avenue_City of Industry California 917481242_626-810-9462',33.995946,-117.906153),
(38062632,23266209,-31.31,'CA','Corona','Corona Del Mar_2801 East Coast Hwy_Corona Del Mar California 92625_949-675-4416',33.6007946,-117.8724814),
(81946475,64424910,-83.10,'CA','Del','Canyon Del Rey & Hwy 68 - Del Rey O_441 Canyon Del Rey_Del Rey Oaks California 93940_831-392-1109',36.58212,-121.828173),
(71761786,44945234,-58.14,'CA','Desert','Palm Dr. & Two Bunch Palms_14207 Palm Drive_Desert Hot Springs California 922406872_760-251-2217',33.945509,-116.501335),
(27425265,51857961,-66.89,'CA','El','Latrobe & Town Center - El Dorado H_4311 Town Center Blvd._El Dorado Hills California 95762_916-933-0846',38.64977631,-121.0690919),
(16078263,34438157,-30.02,'CA','Half','Hwy 1 & Belleville - Half Moon Bay_80 Cabrillo Highway N_Half Moon Bay California 94019_650-726-5753',37.468404,-122.433598),
(77113418,44420100,-64.85,'CA','Marina','Marina Del Rey_4264 Lincoln Boulevard_Marina Del Rey California 90292_(310) 578-6832',33.98616371,-118.443934),
(74773294,15831493,-33.75,'CA','Marina','100 Washington Blvd. - Marina Del R_100 Washington Blvd._Marina Del Rey California 90291_(310) 821-5233',33.979718,-118.465364),
(97050002,27106551,-36.62,'CA','Marina','Washington & Del Rey Culver City_13431 Washington Blvd_Marina Del Rey California 90292_310-306-8990',33.990957,-118.446567),
(27064612,76855499,-32.58,'CA','Marina','Lincoln & Fiji Marina del Rey_4724 1/2 Admiralty_Marina del Rey California 902926905_310-574-3941',33.97919391,-118.4396876),
(24479860,23368890,-51.52,'CA','Rancho','Palos Verdes Dr. West & Hawthorne_31202 HAWTHORNE BLVD_Rancho Palos Verdes California 902755354_310-265-7230',33.74966541,-118.4068344),
(09858233,73480305,-70.87,'CA','Rancho','Rancho Santa Margarita_31437 Santa Margarita Parkway_Rancho Santa Margarita California 92688_(949) 888-8510',33.64868425,-117.5823954),
(93498221,68754486,-42.94,'CA','Rancho','Antonio & La Promesa Rancho Sant_22421 Antonio Parkway_Rancho Santa Margarita California 926882811_949-459-7710',33.63644819,-117.5905721),
(25433859,07058600,-83.55,'CA','Rancho','Oso & Antonio Mission Viejo_28562 Oso Parkway_Rancho Santa Margarita California 926885599_949-635-9215',33.58690541,-117.6181388),
(85231420,11230303,-82.04,'CA','Rancho','Santa Margarita Pkwy & 241_30465 Avenida De Las Flores_Rancho Santa Margarita California 926883923_949-589-9028',33.63729855,-117.5987957),
(77446707,71873002,-39.94,'CA','Rolling','Palos Verdes_46 A Peninsula Center_Rolling Hills Estates California 90274_(310) 544-3942',33.77526442,-118.3753846),
(91438748,42839870,-74.91,'CA','San','Broad & Tank Farm San Luis Obispo_3970 Broad Street_San Luis Obispo California 934017097_805-542-0813',35.24904561,-120.6434481),
(06471489,77491074,-31.07,'CA','San','Madonna & El Mercado_253 Madonna Road_San Luis Obispo California 93405_805-595-3482',35.26355976,-120.67708),
(31462169,06290388,-77.43,'CA','San','San Luis Obispo_885 Higuera St._San Luis Obispo California 93401_(805) 547-0465',35.28056352,-120.661794),
(80265413,78621443,-42.96,'CA','Santa','Imperial & Carmenita Santa Fe Spri_13248 Imperial Highway_Santa Fe Springs California 90670_562-926-9770',33.91691283,-118.0498614),
(17975480,19072776,-57.33,'CA','Santa','Valley View & Alondra Santa Fe Srp_15905 Valley View Avenue_Santa Fe Springs California 906705817_562-483-6051',33.88794259,-118.0288517),
(02329416,99268674,-42.17,'CA','Santa','Carmenita & Telegraph Santa Fe Spr_13352 E. Telegraph Road_Santa Fe Springs California 90670_562-944-4443',33.94111219,-118.0476211),
(76936619,08895981,-55.49,'CA','Santa','Telegraph & Norwalk Santa Fe Sprin_12215 Telegraph Road_Santa Fe Springs California 906703307_562-941-3549',33.941904,-118.072428),
(57974811,60845964,-31.85,'CA','South','Lake Tahoe & Park -South Lake Tahoe_4000 S LAKE TAHOE BLVD_South Lake Tahoe California 96150_530-543-3391',38.95485353,-119.9449384),
(68856536,20894241,-37.97,'CA','South','South Lake Tahoe_1064 Emerald Bay Road_South Lake Tahoe California 961506200_(530) 544-4490',38.90387991,-119.9989939),
(84348728,42943471,-75.05,'CA','South','Grand & Linden - South San Francisc_329 Grand Avenue_South San Francisco California 94080_6505891939',37.65523246,-122.4106503),
(91312040,21768105,-57.28,'CA','West','Santa Monica at Bundy_12100 Santa Monica Blvd._West Los Angeles California 90025_(310) 571-9262',34.04033,-118.463412),
(57925126,67261326,-37.17,'CA','West','Santa Monica & Pontius_11155 Santa Monica Blvd._West Los Angeles California 90025_310-312-2903',34.047637,-118.445148),
(48984795,55514824,-39.54,'FL','Fort','Eglin & Walter Martin - Fort Walton_93 Eglin Parkway NE_Fort Walton Beach Florida 32548_850-243-2107',30.417252,-86.607735),
