LATITUDE,LONGITUDE,MUNICIPIO,UF,
(-9.82,-66.88,"ACRELANDIA","AC"),

(-10.94,-69.56,"ASSIS BRASIL","AC"),
(-11.01,-68.74,"BRASILEIA","AC"),
(-9.83,-67.95,"BUJARI","AC"),
(-10.57,-67.67,"CAPIXABA","AC"),
(-7.63,-72.67,"CRUZEIRO DO SUL","AC"),
(-11.02,-68.74,"EPITACIOLANDIA","AC"),
(-8.16,-70.35,"FEIJO","AC"),
(-9.43,-71.88,"JORDAO","AC"),
(-7.61,-72.89,"MANCIO LIMA","AC"),
(-8.83,-69.26,"MANOEL URBANO","AC"),
(-8.94,-72.79,"MARECHAL THAUMATURGO","AC"),
(-10.27,-67.15,"PLACIDO DE CASTRO","AC"),
(-9.58,-67.53,"PORTO ACRE","AC"),
(-8.26,-72.74,"PORTO WALTER","AC"),
(-9.97,-67.81,"RIO BRANCO","AC"),
(-7.74,-72.64,"RODRIGUES ALVES","AC"),
(-9.43,-70.49,"SANTA ROSA DO PURUS","AC"),
(-9.06,-68.65,"SENA MADUREIRA","AC"),
(-10.15,-67.73,"SENADOR GUIOMARD","AC"),
(-8.16,-70.76,"TARAUACA","AC"),
(-10.65,-68.5,"XAPURI","AC"),
(-9.26,-37.93,"AGUA BRANCA","AL"),
(-9.68,-36.3,"ANADIA","AL"),
(-9.75,-36.66,"ARAPIRACA","AL"),
(-9.5,-36.02,"ATALAIA","AL"),
(-9.4,-35.5,"BARRA DE SANTO ANTONIO","AL"),
(-9.84,-35.9,"BARRA DE SAO MIGUEL","AL"),
(-9.67,-37.12,"BATALHA","AL"),
(-9.57,-36.49,"BELEM","AL"),
(-9.82,-37.28,"BELO MONTE","AL"),
(-9.64,-36.22,"BOCA DA MATA","AL"),
(-9.24,-36.01,"BRANQUINHA","AL"),
(-9.4,-36.99,"CACIMBINHAS","AL"),
(-9.39,-36.15,"CAJUEIRO","AL"),
(-8.84,-35.56,"CAMPESTRE","AL"),
(-9.78,-36.35,"CAMPO ALEGRE","AL"),
(-9.95,-36.79,"CAMPO GRANDE","AL"),
(-9.12,-37.6,"CANAPI","AL"),
(-9.4,-36.07,"CAPELA","AL"),
(-9.48,-37.37,"CARNEIROS","AL"),
(-9.25,-36.29,"CHA PRETA","AL"),
(-9.63,-36.57,"COITE DO NOIA","AL"),
(-8.9,-35.72,"COLONIA LEOPOLDINA","AL"),
(-9.63,-35.8,"COQUEIRO SECO","AL"),
(-10.12,-36.17,"CORURIPE","AL"),
(-9.61,-36.76,"CRAIBAS","AL"),
(-9.38,-37.99,"DELMIRO GOUVEIA","AL"),
(-9.39,-37.1,"DOIS RIACHOS","AL"),
(-9.39,-36.76,"ESTRELA DE ALAGOAS","AL"),
(-9.9,-36.67,"FEIRA GRANDE","AL"),
(-10.29,-36.3,"FELIZ DESERTO","AL"),
(-9.27,-35.71,"FLEXEIRAS","AL"),
(-9.88,-36.82,"GIRAU DO PONCIANO","AL"),
(-8.97,-35.93,"IBATEGUARA","AL"),
(-9.53,-36.63,"IGACI","AL"),
(-10.12,-36.66,"IGREJA NOVA","AL"),
(-9.21,-37.75,"INHAPI","AL"),
(-9.63,-37.2,"JACARE DOS HOMENS","AL"),
(-8.84,-35.46,"JACUIPE","AL"),
(-9.08,-35.25,"JAPARATINGA","AL"),
(-9.65,-37,"JARAMATAIA","AL"),
(-9.13,-35.74,"JOAQUIM GOMES","AL"),
(-8.93,-35.57,"JUNDIA","AL"),
(-9.92,-36.47,"JUNQUEIRO","AL"),
(-9.83,-36.73,"LAGOA DA CANOA","AL"),
(-9.74,-36.5,"LIMOEIRO DE ANADIA","AL"),
(-9.66,-35.73,"MACEIO","AL"),
